caseid,v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d104,d106,d107,d108,d113,d121,d129,ipv,vio
     0139030 02,5,4,1,1,1,4,4,1,2,1,43,1,2,1,4,3,1,2,3,0,0,0,0,0,1,1,1,0,25,2,1,1,91,1,92,43,1,2,2,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0139049 02,4,4,1,1,1,4,4,1,2,1,41,0,1,0,2,2,0,2, ,1,0,0,0,0,1,1,1,0,22,3,3,1,92,1,92,41,1,1,1,4,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,8,1,3,NaN
     0139059 02,6,4,1,2,2,4,5,0,2,1,47,0,0,2,4,3,0,3, ,1,0,0,0,0,1,1,1,0,21,2,1,2,61,1,61,47,1,2,2,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,NaN
     0140038 01,3,4,1,3,2,1,1,0,1,2,29,2,2,2,5,0,0,0, ,0,0,0,0,0,1,1,2,0,26,3,2,3,25,1,15,32,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0140054 02,3,4,1,3,2,4,4,1,2,1,30,1,1,2,5,1,0,1, ,1,0,0,0,0,1,1,1,0,22,3,2,3,31,0,0,30,2,4,4,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0141011 02,6,4,2,1,1,4,7,0,2,1,45,0,2,2,4,6,0,6, ,2,0,0,0,0,1,1,1,0,19,4,1,1,61,1,61,45,1,1,1,4,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,2,NaN
     0141033 01,3,4,2,2,2,4,6,2,1,2,28,1,2,1,2,3,0,3, ,11,0,0,0,0,1,5, , ,18,3, ,1,91,1,53, , , , , ,0,1,1,0,0,0,0,0, ,0,1,0,0,0,1,0,1,1,0,0,1,0,2,NaN
     0142017 02,3,4,1,2,1,4,3,0,2,1,31,2,2,1,3,1,0,1, ,1,0,0,0,0,1,1,1,0,19,3,3,2,29,1,25,31,1,2,2,2,0,0,0,0,0,3,3,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,NaN
     0142083 01,7,4,1,2,1, ,2,0,1,2,45,0,1,0,3,2,0,2, ,2,0,0,0,0,1,3, , ,19,4, ,1,91,1,92, , , , , ,0,0,0,0,0,1,1,1, ,0,1,1,1,0,1,1,1,1,0,1,1,2,3,NaN
     0142101 02,4,4,1,2,2,4,4,1,2,1,33,0,2,1,5,2,0,2, ,11,0,0,0,0,1,1,1,0,24,3,1,3,61,1,92,33,4,2,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,NaN
     0142105 02,7,4,1,1,1,4,4,0,2,1,51,0,2,2,5,3,0,3, ,1,0,0,0,0,1,1,1,0,22,4,1,3,25,1,61,50,1,4,2,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0143069 02,6,4,1,1,1,4,6,0,2,1,47,1,1,0,2,3,0,2, ,3,0,0,0,0,1,1,1,0,18,3,2,2,71,1,61,47,1,1,2,2,0,0,0,0,0,2,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,3,NaN
     0144010 02,4,4,2,1,2,4,4,1,2,1,36,0,1,1,4,2,0,2, ,3,0,0,0,0,1,1,1,0,22,3,1,2,91,1,92,33,2,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,NaN
     0144019 02,7,4,2,2,2,4,3,0,2,1,50,0,1,1,3,4,0,4, ,3,0,0,0,0,1,1,1,0,17,4,1,2,61,1,92,51,2,4,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,4,NaN
     0144039 01,5,4,2,1,1,4,3,0,1,2,31,1,2,2,4,2,0,2, ,1,0,0,0,0,1,1,2,0,24,3,1,2,25,1,92,38,1,2,2,2,0,1,0,1,0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0144057 02,6,4,2,1,1,4,3,0,2,1,45,0,2,0,4,2,0,2, ,3,0,0,0,0,1,1,1,0,23,2,1,1,61,1,92,45,1,2,1,4,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,NaN
     0145033 02,5,4,2,1,2,4,5,1,2,1,42,1,2,0,4,3,0,3, ,1,0,0,0,0,1,1,1,0,27,2,1,2,35,0,0,42,1,2,2,2,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0146013 02,6,4,2,1,2,4,3,0,2,1,46,0,2,2,4,3,0,3, ,3,0,0,0,0,1,1,2,0,23,3,1,2,92,1,92,40,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NaN
     0146044 02,5,4,2,2,2,4,4,0,2,1,43,0,1,1,4,2,1,2,1,0,0,0,0,0,1,1,1,0,24,3,8,2,61,1,61,43,2,2,2, ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0147059 02,5,4,2,1,1,4,5,0,2,1,40,0,0,0,2,3,0,3, ,11,0,0,0,0,1,1,1,0,18,4,2,1,91,1,91,40,1,1,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,3,NaN
     0148053 02,5,4,2,1,2,4,8,2,2,1,50,1,2,2,5,5,0,5, ,2,0,0,0,0,1,1,1,0,15,96,2, ,91,1,61, ,1,4,1,4,0,0,0,0,0,2,2,1,0,0,1,0,1,1,1,1,0,0,0,0,1,2,1,NaN
     0148105 01,2,4,2,1,2,6,1,0,1,2,25,2,2,0,3,1,0,1, ,8,0,0,0,0,1,1,2,0,23,2,1,1,88,1,53,30,1,2,2,2,0,1,0,0,0,2,2,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,NaN
     0148113 02,4,4,2,2,2,4,3,0,2,1,32,0,2,2,5,1,0,1, ,8,0,0,0,0,1,1,1,0,22,2,1,1,88,1,52,32,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,NaN
     0149035 02,7,4,2,2,2,4,3,0,2,1,51,2,2,2,5,3,0,3, ,5,0,0,0,0,1,1,1,0,16,3,2,2,37,1,91,51,2,2,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NaN
     0149047 02,2,4,2,2,1,4,3,1,2,1,26,0,2,0,3,1,0,1, ,3,0,0,0,0,1,1,1,0,19,3,3,1,71,1,71,26,1,2,1,2,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,NaN
     0149059 02,5,4,2,1,2,4,6,0,2,1,48,0,1,0,3,6,0,4, ,1,0,0,0,0,1,1,1,0,17,3,1,1,71,1,53,48,1,2,1,4,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,3,NaN
     0149072 02,3,4,2,1,1,4,5,2,3,2,65,0,1,0,2,2,0,2, ,3,0,0,0,0,1,5, , ,23,2, ,2,91,1,71, , , , , ,0,1,0,1,0,0,0,1, ,0,1,1,1,1,1,1,1,0,0,1,8,1,2,NaN
     0150016 02,5,4,1,2,2,4,5,1,2,1,38,1,2,2,5,4,0,3, ,8,0,0,0,0,1,1,1,0,22,96,3,2,53,1,91,38,1,2,2,2,0,1,1,0,0,2,2,1,1,0,8,0,8,8,1,1,1,0,0,1,0,1,2,NaN
     0150100 02,3,4,1,1,2,4,6,1,2,1,34,0,2,2,5,3,0,3, ,11,0,0,0,0,1,1,1,0,22,4,1,2,89,1,53,34,1,2,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,8,0,1,NaN
     0150112 02,4,4,1,1,2,4,4,0,2,1,45,0,1,1,5,2,0,2, ,3,0,0,0,0,1,1,1,1,27,2,1,3,23,1,61,45,1,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NaN
     0151010 02,5,4,2,2,1,4,4,0,2,1,39,0,1,2,5,2,0,2, ,2,0,0,0,0,1,1,1,98,25,1,1,1,88,1,61,39,1,2,1,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN
     0151022 02,7,4,2,1,1,4,3,0,2,1,54,0,2,0,2,4,0,3, ,11,0,0,0,0,1,1,1,0,16,4,1,1,61,1,91,54,1,1,2,4,1,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,NaN
     0151034 01,5,4,2,1,2,4,2,0,1,2,35,0,2,0,2,2,0,2, ,0,0,0,0,0,1,5, , ,22,4, ,1,61,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,1,0,1,1,1,1,0,1,1,1,3,NaN
     0152062 02,7,4,2,1,2,4,3,0,2,1,49,0,1,0,3,4,0,4, ,1,0,0,0,0,1,1,1,0,17,4,1,1,61,1,61,49,1,1,2,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1,NaN
     0153036 02,5,4,2,1,2,4,4,0,2,1,35,0,1,0,3,2,0,2, ,1,0,0,0,0,1,1,1,0,17,2,1,1,61,1,61,35,2,4,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0154039 02,6,4,2,1,2,4,4,1,2,1,53,0,1,0,4,3,0,3, ,2,0,0,0,0,1,1,1,0,15,1,1,2,61,1,61,53,2,2,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,NaN
     0154060 02,3,4,2,1,1,4,6,2,3,2,50,0,2,0,4,3,0,2, ,3,0,0,0,0,1,5, , ,23,1, ,1,91,0,0, , , , , ,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0154080 01,6,4,2,1,2,4,6,2,1,2,43,0,2,0,2,5,0,5, ,11,0,0,0,0,1,5, , ,39,2, ,1,61,1,91, , , , , ,1,0,0,0,0,1,0,1, ,0,1,0,0,0,0,1,0,0,0,1,1,0,1,NaN
     0154101 02,4,4,2,1,1,4,4,1,2,1,35,1,2,1,3,2,0,2, ,1,0,0,0,0,1,1,1,0,22,3,8,2,91,1,61,35,1,2,1,1,1,1,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0154121 02,4,4,2,1,2,4,4,0,2,1,30,0,2,1,4,1,0,1, ,1,0,0,0,0,1,1,1,0,22,3,1,1,61,1,91,30,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN
     0155045 02,5,4,2,1,2,4,5,0,2,1,42,0,2,2,5,3,0,3, ,11,0,0,0,0,1,1,1,0,16,3,1,1,91,1,91,42,1,2,2,2,1,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,NaN
     0155058 02,7,4,2,2,2,4,3,0,2,1,49,1,2,2,5,3,0,3, ,0,0,0,0,0,1,1,1,0,18,6,1,2,75,1,61,49,1,2,1,4,1,1,1,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NaN
     0155086 02,6,4,2,1,2,4,4,0,2,1,45,0,1,0,3,3,0,3, ,2,0,0,0,0,1,1,2,0,17,4,2,1,61,1,92,45,4,2,2,4,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,2,0,NaN
     0156043 02,6,4,2,1,2,4,4,0,2,1,43,0,1,0,3,4,0,4, ,11,0,0,0,0,1,1,1,1,17,4,1,1,92,1,92,43,4,4,2,4,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,4,NaN
     0156058 02,5,4,2,1,2,4,6,2,2,1,42,0,0,0,1,5,0,4, ,2,0,0,0,0,1,1,1,0,19,3,2,1,61,1,61,42,1,1,1,4,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,3,NaN
     0156088 01,1,4,2,1,2,4,2,1,1,2,20,0,0,0,3,1,0,1, ,3,0,0,0,0,1,1,2,0,18,3,1,2,71,1,61,26,1,2,2,2,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,NaN
     0157015 01,5,4,2,1,2,4,4,1,1,2,35,0,1,1,4,2,0,2, ,11,0,0,0,0,1,1,2,98,22,3,2,2,88,1,91,36,1,1,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,NaN
     0157078 01,3,4,2,2,2,4,4,1,1,2,29,0,2,2,5,1,0,1, ,1,0,0,0,0,1,1,2,0,25,2,2,2,13,1,13,24,1,2,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0157092 01,3,4,2,3,2,4,1,0,1,2,25,1,0,1,5,0,1,0,1,0,0,0,0,0,1,1,2,0,24,3,1,3,26,1,25,28,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN
     0158056 02,3,4,1,3,1,4,4,1,2,1,31,0,2,2,5,1,0,1, ,11,0,0,0,0,1,1,1,0,27,2,1,3,28,1,37,31,1,2,2,4,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,2,NaN
     0158116 02,6,4,1,3,1,4,3,0,2,1,47,2,2,2,5,3,0,3, ,2,0,0,0,0,1,1,1,0,22,3,1,3,37,1,37,47,1,1,1,2,0,0,0,0,0,2,2,1,0,0,1,0,1,0,0,1,1,0,0,0,8,0,2,NaN
     0159008 01,5,4,1,1,2,4,3,0,1,2,37,0,2,1,5,3,0,3, ,0,0,0,0,0,1,1,2,0,23,4,1,2,37,1,53,52,2,2,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,NaN
     0159024 02,2,4,1,2,2,4,3,1,2,1,25,1,2,2,5,1,0,1, ,3,0,0,0,0,1,2,1,0,19,3,1,1,91,1,91,26,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NaN
     0159032 02,3,4,1,1,2,4,5,1,2,1,29,0,2,2,5,3,0,3, ,3,0,0,0,0,1,2,1,0,26,4,3,1,62,1,52,29,2,2,4,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,8,2,2,NaN
     0160013 04,3,4,1,1,2,6,4,1,12,1,30,1,2,2,5,1,0,1, ,11,0,0,0,0,1,5, , ,20,3, ,1,91,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,0,1,1,1,0,1,0,1,1,8,2,2,NaN
     0160043 02,1,4,1,1,2,4,3,1,10,2,43,0,2,0,4,1,0,1, ,0,0,0,0,0,1,5, , ,15,1, ,2,91,1,51, , , , , ,0,1,0,0,0,0,0,1, ,0,1,0,0,0,1,1,1,1,0,0,1,1,3,NaN
     0160058 02,2,4,1,2,2,4,2,0,2,1,24,0,2,0,4,0,1,0,2,0,0,0,0,0,1,2,1,0,24,2,1,3,71,0,0,24,4,4,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0161013 02,3,4,2,1,2,4,4,0,2,1,42,2,2,2,3,2,0,2, ,3,0,0,0,0,1,1,1,0,15,4,1,2,61,0,61,42,4,4,2,4,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0161040 02,2,4,2,2,1,4,3,1,2,1,25,0,2,0,2,1,0,1, ,3,0,0,0,0,1,1,1,0,18,4,1,2,88,0,0,25,1,4,1,4,0,1,1,1,0,2,2,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,NaN
     0162011 02,4,4,2,1,1,4,4,0,2,1,37,0,2,2,4,2,0,2, ,0,0,0,0,0,1,1,1,0,18,4,1,2,37,0,11,37,4,2,4,2,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,NaN
     0162023 02,7,4,2,2,2,4,5,0,2,1,51,0,2,0,2,4,0,4, ,0,0,0,0,0,1,1,1,0,20,4,1,2,61,1,61,51,2,1,2,2,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN
     0162046 02,4,4,2,1,2,1,3,0,2,1,37,0,0,0,3,3,0,1, ,1,0,0,0,0,1,1,1,0,18,3,3,1,71,1,11,37,1,1,4,4,0,1,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0162070 02,1,4,2,2,1,4,2,0,12,1,23,1,2,1,2,0,0,0, ,0,0,0,0,0,1,2,1,0,18,2,1,1,71,0,0,23,4,2,1,2,0,0,0,0,0,2,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,NaN
     0164015 02,5,4,2,1,2,4,6,0,2,1,46,2,2,1,3,4,0,4, ,6,0,0,0,0,1,1,1,0,19,4, ,1,61,1,61,46,4,4,4,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,NaN
     0164033 02,3,4,2,2,2,4,3,1,2,1,32,0,2,0,3,1,0,1, ,3,0,0,0,0,1,1,1,0,20,2,1,1,91,0,0,32,2,1,2,2,0,1,0,1,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0165017 01,2,4,2,1,2,4,3,2,1,2,23,0,1,1,1,2,0,2, ,3,0,0,0,0,1,1,2,0,20,2,2,1,61,0,0,27,1,2,4,2,1,1,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,NaN
     0167033 02,3,4,2,1,2,4,4,1,2,1,31,2,2,2,4,2,0,2, ,3,0,0,0,0,1,1,1,0,18,4,1,1,61,1,91,31,1,1,2,4,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0167049 02,6,4,2,1,1,4,6,0,2,1,58,0,1,0,3,4,0,4, ,1,0,0,0,0,1,2,1,0,27,7,1,1,61,0,61,58,1,2,1,2,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,NaN
     0167066 02,2,4,2,2,2,4,3,1,2,1,29,1,2,2,3,1,1,1,1,0,0,0,0,0,1,2,1,0,15,3,1,2,53,1,52,28,1,1,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NaN
     0167083 02,2,4,2,2,2,7,4,2,2,1,27,0,2,0,2,2,0,2, ,2,0,0,0,0,1,1,1,0,18,4,3,2,91,1,53,27,2,2,2,4,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,NaN
     0168016 02,3,4,2,1,2,4,3,1,2,1,28,0,2,2,4,1,0,1, ,0,0,0,0,0,1,2,1,0,19,3,2,1,91,1,91,28,2,2,2,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,3,NaN
     0168086 02,4,4,2,1,2,4,4,0,2,1,35,0,2,0,3,2,0,2, ,11,0,0,0,0,1,1,1,0,20,4,1,1,71,1,92,35,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0169014 02,6,4,2,1,2,4,4,0,2,1,48,0,2,0,2,3,0,3, ,0,0,0,0,0,1,1,1,0,26,4,8,1,61,1,61,48,1,2,1,4,0,1,0,0,0,2,2,1,1,0,1,0,0,0,0,1,1,1,0,1,0,2,3,NaN
     0169030 02,5,4,2,1,2,4,3,0,2,1,45,1,2,1,2,1,0,1, ,5,0,0,0,0,1,1,1,0,33,6,1,1,61,1,61,45,1,2,4,1,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN
     0169063 02,3,4,2,1,2,4,5,1,4,2,68,1,2,1,4,2,0,2, ,1,0,0,0,0,1,1,2,0,20,2,3,1,91,1,61,28,1,1,2,2,0,0,0,0,0,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0169096 02,7,4,2,2,2,4,4,0,2,1,50,0,2,0,3,3,0,3, ,1,0,0,0,0,1,2,1,0,32,4,1,1,61,0,61,50,1,1,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NaN
     0170048 02,7,4,2,2,2,4,3,0,2,1,56,1,2,2,5,7,0,3, ,0,0,0,0,0,1,1,1,0,12,10,1,3,91,1,91,56,2,1,4,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0170081 02,6,4,2,2,2,4,3,0,2,1,46,0,2,0,4,2,0,2, ,0,0,0,0,0,1,1,2,1,21,4,3,1,72,1,61,46,1,1,1,4,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,2,NaN
     0170097 02,4,4,2,2,2,4,4,0,2,1,38,0,2,1,4,3,1,2,1,0,0,0,0,0,1,1,1,0,19,4,3,1,88,1,61,38,2,2,4,2,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0171086 02,4,4,2,1,2,4,4,0,2,1,30,0,2,1,3,2,0,2, ,1,0,0,0,0,1,1,1,0,21,2,1,1,54,1,61,30,1,4,1,1,0,8,0,0,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0171108 01,6,4,2,1,1,4,4,0,1,2,43,1,1,1,2,4,0,4, ,3,0,0,0,0,1,3, , ,19,4, ,1,71,1,86, , , , , ,0,0,0,0,0,1,1,8, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0172009 02,2,4,1,1,2,4,4,2,2,1,28,0,2,0,2,2,0,2, ,3,0,0,0,0,1,1,1,0,19,4,1,1,93,1,61,28,1,2,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,NaN
     0172018 01,5,4,1,2,1,4,4,1,1,2,36,1,2,1,3,5,0,4, ,8,0,0,0,0,1,5, , ,23,4, ,1,51,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,0,1,0,0,1,1,1,1,1,1,0,1,4,NaN
     0172056 02,5,4,1,1,2,4,5,0,2,1,45,1,2,1,2,4,0,3, ,3,0,0,0,0,1,1,1,0,18,3,2,1,93,1,61,45,2,2,2,4,0,0,0,0,0,2,2,1,1,0,1,1,1,1,1,0,1,0,0,0,8,0,1,NaN
     0173014 02,4,4,2,1,2,4,5,1,2,1,34,0,2,0,4,3,0,3, ,3,0,0,0,0,1,2,1,0,17,4,1,1,61,0,61,35,1,2,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0173028 01,3,4,2,1,2,4,4,3,1,2,25,0,2,1,3,5,0,3, ,3,0,0,0,0,1,1,2,0,18,4,2,1,71,1,61,30,1,4,4,4,0,0,0,0,0,2,2,1,1,0,1,1,1,0,1,0,0,0,0,1,0,2,0,NaN
     0174016 02,6,4,2,2,2,4,8,1,2,1,48,1,2,1,3,6,0,6, ,3,0,0,0,0,1,1,1,0,16,4,2,1,71,1,91,48,2,2,2,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0174091 02,3,4,2,2,2,4,3,1,2,1,32,1,2,1,3,1,1,1,1,0,0,0,0,0,1,1,1,0,23,4,1,1,88,1,53,32,2,2,2,2,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0174109 02,4,4,2,2,2,4,5,1,2,1,38,0,1,2,5,3,0,3, ,10,0,0,0,0,1,2,1,0,17,2,1,1,88,0,61,38,2,2,2,2,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0175106 02,4,4,2,2,2,4,5,0,2,1,45,0,2,0,4,4,0,3, ,8,0,0,0,0,1,1,1,0,16,3,1,2,61,1,91,38,1,2,2,2,0,1,1,1,1,2,2,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,NaN
     0176015 04,2,4,2,1,1,5,6,1,4,1,68,0,0,0,5,2,0,2, ,3,0,0,0,0,1,1,1,0,13,2,8,2,88,1,92,35,1,1,4, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,NaN
     0177029 01,6,4,1,1,2,4,1,0,1,2,44,0,2,1,4,2,0,2, ,3,0,0,0,0,1,5, , ,23,4, ,1,88,1,91, , , , , ,8,0,0,0,0,0,0,1, ,0,1,0,1,1,1,0,1,1,0,0,1,0,2,NaN
     0177045 01,5,4,1,1,2,4,2,0,1,2,35,1,2,2,5,1,0,1, ,0,0,0,0,0,1,3, , ,23,2, ,1,61,1,77, , , , , ,0,0,0,0,0,0,0,1, ,0,0,1,1,1,1,0,1,1,0,1,0,1,2,NaN
     0178008 02,7,4,2,1,2,4,5,0,2,1,66,0,1,0,1,7,0,7, ,0,0,0,0,0,1,1,1,0,18,4,2,1,61,1,61,66,4,4,4,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN
     0178035 01,5,4,2,1,2,4,4,1,1,2,39,0,0,0,2,4,0,3, ,0,0,0,0,0,1,2,2,98,24,4,1,1,91,1,61,42,1,2,1,4,1,0,0,1,0,2,2,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,NaN
     0179008 01,7,4,1,1,2,4,5,1,1,2,46,0,2,0,3,2,0,2, ,0,0,0,0,0,1,3, , ,15,2, ,2,88,0,0, , , , , ,1,1,1,1,1,1,1,1, ,0,1,0,0,0,1,0,1,0,0,1,0,0,1,NaN
     0179037 01,4,4,1,1,2,4,7,1,1,2,31,0,2,1,2,5,0,5, ,3,0,0,0,0,1,1,2,0,19,4,2,1,91,1,61,37,4,2,4,2,0,0,0,0,0,2,2,1,1,0,1,1,0,0,0,1,1,0,0,0,1,2,2,NaN
     0179046 02,2,4,1,1,2,4,5,3,2,1,29,0,2,0,3,3,0,3, ,3,0,0,0,0,1,1,1,0,18,4,8,1,88,1,61,29,2,4,1,4,1,1,0,1,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,NaN
     0179056 01,5,4,1,1,2,4,4,0,1,2,36,0,2,0,2,5,0,4, ,1,0,0,0,0,1,2,2,0,18,4,1,1,61,1,61,38,1,2,2,2,1,1,0,1,0,2,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,3,NaN
     0180020 01,4,4,1,1,1,4,4,1,1,2,32,0,2,2,4,3,0,3, ,1,0,0,0,0,1,1,2,0,17,5,2,1,61,1,91,40,1,2,2,2,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,NaN
     0180040 02,6,4,1,1,1,4,5,0,2,1,39,0,2,0,1,4,0,4, ,1,0,0,0,0,1,2,1,0,22,2,1,1,61,0,61,39,1,4,1,2,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,3,NaN
