v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v169a,v171a,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v745c,v745d,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d113,d121,d129,s711a,s711b,ipv
3,3,2,0,1,1,3,1,2,1,36,0,0,0,0,0,2,2,0,2,,2,0,0,0,0,1,1,1,0,10,5,1,0,63,1,75,34,2,1,2,2,0,1,1,1,1,2,0,0,,8,1,0,1,0,0,0,0,0,0,0,2,0,0
5,2,2,0,4,4,4,0,1,2,38,0,0,0,0,0,1,6,0,5,,0,0,0,0,0,1,1,2,0,16,6,2,0,61,1,61,56,4,4,4,4,1,1,1,1,1,2,0,0,,1,1,0,1,1,0,0,1,0,0,1,2,0,3
3,2,2,0,4,4,5,2,1,2,25,0,0,0,0,0,1,4,0,4,,0,0,0,0,0,1,1,2,0,15,3,1,0,0,0,0,37,4,4,4,4,1,1,1,1,1,0,0,,,0,1,0,0,0,0,1,1,0,0,1,2,0,2
3,2,2,0,4,4,4,2,2,1,40,0,0,0,0,0,1,3,0,2,,0,0,0,0,0,1,1,1,0,18,4,1,0,61,0,0,40,4,4,4,4,1,1,1,1,1,2,0,0,,8,0,0,0,0,0,0,0,0,0,1,2,0,0
2,2,2,1,4,4,2,1,1,2,20,0,0,0,0,0,1,1,0,1,,0,0,0,0,0,1,1,2,0,16,0,8,0,0,0,0,28,4,2,4,2,0,0,0,0,0,2,0,0,,1,1,0,0,0,0,0,0,0,0,0,2,0,0
3,2,2,0,4,4,3,1,1,2,27,0,0,0,0,0,1,4,0,2,,0,0,0,0,0,1,1,2,0,15,10,1,0,92,1,61,41,4,4,4,4,1,1,1,1,1,2,0,0,,0,0,0,1,1,0,0,0,0,0,0,2,0,0
2,2,2,0,4,4,4,1,1,2,20,0,0,0,0,0,1,1,0,1,,0,0,0,0,0,1,1,1,0,15,13,2,0,61,0,0,32,4,4,2,4,0,0,0,0,1,1,0,0,,0,0,0,1,0,0,0,0,0,0,1,2,0,0
3,11,1,1,4,2,4,0,1,2,30,1,1,2,1,0,5,1,0,1,,3,0,0,0,0,1,2,2,0,19,8,8,2,83,1,52,35,1,1,1,2,0,0,0,0,0,1,0,1,,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,11,1,1,4,2,4,0,10,2,65,0,0,0,1,0,5,0,0,0,,0,0,0,0,0,1,1,1,0,18,6,8,2,75,0,0,21,1,2,2,1,1,1,0,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,2,2,1,0
2,11,1,1,4,2,4,0,1,2,20,0,1,0,1,1,5,0,0,0,,0,0,0,0,0,1,1,1,0,20,95,8,8,52,0,0,30,2,2,2,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2,1,1,0
